id,name,years,institutions,countries,affiliations_comment,journal_names,works_count,total_works_count,total_cited_by_count
A5042865752,Courtney Desiree Morris,2015,Pennsylvania State University,US,,American Anthropologist,1,12,184
A5108238222,Covey Oliver,1962,,,,American Journal of International Law (AJIL),1,159,197
A5066443302,Craig Daigle,2017,City College of New York,US,,International Journal of Middle East Studies (IJMES),1,37,95
A5066930147,Craig Larkin,2012,Institute of Religious Studies,BR,,Middle East Journal,1,33,432
A5051549664,Cristina Andriani,2009,Clark University,US,,"Social Identities: Journal for the Study of Race, Nation and Culture",1,7,37
A5008306910,Crown Prince Hasan,1987,,,,Journal of Palestine Studies,1,2,0
A5011635200,Crystal M Shackleford,2025,Yale University,US,,Journal of Personality and Social Psychology (JPSP),1,17,180
A5112770383,Curtis Brown,2010,,,,Journal of Palestine Studies,1,81,706
A5103025767,Curtis R. Ryan,1998,,,,Journal of Palestine Studies,1,97,758
A5057580873,Cyrus Schayegh,2012,Princeton University,US,,International Journal of Middle East Studies (IJMES),1,98,576
A5027042569,D. A. Jaber,2023,,,,Journal of Palestine Studies,1,3,31
A5036577690,D. Deletant,2013,Georgetown University,US,,Holocaust and Genocide Studies (HGS),1,3,0
A5061764615,D. Diner,1983,,,,Telos,1,97,947
A5033367937,D. J. Diephouse,2009,Calvin University,US,,Holocaust and Genocide Studies (HGS),1,59,47
A5034834361,D. J. Dietrich,2014,Boston College,US,,Holocaust and Genocide Studies (HGS),1,176,631
A5089550398,D. Michman,1991;1993,Bar-Ilan University,IL,,Holocaust and Genocide Studies (HGS),2,87,244
A5029736373,D. Smith Charles,1997,University of Arizona,US,,International Journal of Middle East Studies (IJMES),1,4,11
A5014750398,D. Weintraub,1966;1968,,,,American Journal of Sociology (AJS);The British Journal of Sociology (BJS),2,19,637
A5107640982,D.P. O’Connell,1972,The University of Law;University of Oxford,GB,,American Journal of International Law (AJIL),1,68,649
A5102878649,Danny Kaplan,2009;2014,Bar-Ilan University,IL,,American Anthropologist;Cultural Anthropology;Middle East Journal,3,11,212
A5034270717,Daphna Fromer,1990,"NIOD Institute for War, Holocaust and Genocide Studies;Tel Aviv University",IL;NL,,Holocaust and Genocide Studies (HGS),1,6,32
A5029387426,David Bartram,2007,University of Leicester,GB,,International Journal of Middle East Studies (IJMES),1,124,2092
A5048005910,Devin Stewart,2003,,,,International Journal of Middle East Studies (IJMES),1,252,1314
A5072703485,Devorah Manekin,2021;2025,Columbia University;Hebrew University of Jerusalem,IL;US,,American Political Science Review (APSR);Personality and Social Psychology Bulletin (PSPB),2,38,608
A5107867659,Didier Fassin,2008,Institut de Recherche Interdisciplinaire en Sciences Sociales,FR,,Cultural Anthropology,1,216,10679
A5008934546,Don Handelman,1972;1975;1991,Hebrew University of Jerusalem;Tel Aviv University,IL,The Hebrew UniversityJerusalem,American Anthropologist;Ethnos: Journal of Anthropology;International Journal of Middle East Studies (IJMES),3,163,2935
A5055154454,Dorit Naaman,2003;2006,Queen's University,CA,,International Journal of Middle East Studies (IJMES),2,25,233
A5091309012,Dorothy Willner,1972;1975,University of Kansas,US,,American Anthropologist,2,39,643
A5041401552,Daan Vandermeulen,2022,Hebrew University of Jerusalem,IL,,Personality and Social Psychology Bulletin (PSPB),1,8,99
A5040627859,Dafna Hirsch,2010,,,,Ethnic and Racial Studies,1,20,287
A5009761167,Dafna Lemish,2010,Southern Illinois University Carbondale,US,,Journal of Ethnic and Migration Studies (JEMS),1,175,3479
A5112830345,Dafna Nundi Izraeli,1979,Tel Aviv University,IL,,Ethnic and Racial Studies,1,46,1323
A5039541323,Dafna Regev,2019,University of Haifa,IL,,Journal of Loss and Trauma,1,100,1269
A5058496684,Dafna Shir‐Vertesh,2003;2012,Ben-Gurion University of the Negev,IL,,American Anthropologist,2,7,184
A5069799837,Dafna Tener,2011,Poriya Medical Center,IL,,Journal of Loss and Trauma,1,81,1180
A5023542805,Dag Tuastad,2017,University of Oslo,NO,,Middle East Critique,1,25,278
A5080478467,Dahlia Scheindlin,2015,Film Independent,US,,International Journal of Middle East Studies (IJMES),1,25,25
A5001408331,Dai Tamada,2021,Japan Society for the Promotion of Science;Kobe University,JP,,Journal of International Dispute Settlement (JIDS),1,40,91
A5015161407,Daichi Sugawara,2021,University of Tsukuba,JP,,Journal of Loss and Trauma,1,136,722
A5006234030,Dale Bishop,1988,United Church of Christ,US,,Journal of Palestine Studies,2,9,43
A5074522961,Dale F. Eickelman,2017,Dartmouth College;Dartmouth Hospital,GB;US,,Journal of Anthropological Research,1,208,4275
A5036228009,Dale Hudson,2021,,,,Journal of Palestine Studies,1,151,315
A5057449350,Dale R. Tahtinen,1979,American Enterprise Institute,US,,Journal of Palestine Studies,2,16,58
A5016069593,Dalia Gavriely-Nuri,2013,Hadassah Academic College;Hebrew University of Jerusalem,IL,,Memory Studies,1,47,436
A5094073325,Dalia Halabi,2024,University of Haifa,IL,,Ethnic and Racial Studies,1,5,5
A5082065169,Dalia Ofer,2023,Hebrew University of Jerusalem,IL,,Holocaust and Genocide Studies (HGS),1,76,411
A5017162782,Dalit Baum,2006,,,,"Social Identities: Journal for the Study of Race, Nation and Culture",1,2,10
A5022529844,Dalit Simchai,2009;2012;2016,Tel Hai Academic College;University of Haifa,IL,,American Journal of Sociology (AJS);Ethnic and Racial Studies,3,12,457
A5041048534,Dalya Weisbrod,2019,University of Haifa,IL,,Journal of Loss and Trauma,1,2,3
A5066943013,Damien Short,2012,University of London,GB,,International Journal of Human Rights (IJHR),1,89,1765
A5084695718,Dan A. Bavly,2016,,,,Constellations,1,2,1
A5002087846,Dan Avni-Segre,1969,,,,World Politics,1,1,4
A5006519168,Dan Avnon,2019,,,,Human Rights Quarterly,1,17,167
A5102114044,Dan Bar-On,1993;2004,Ben-Gurion University of the Negev,IL,,Holocaust and Genocide Studies (HGS);Journal of Social Issues (JSI),3,79,2239
A5070006371,Dan Cohn‐Sherbok,1991,University of Kent,GB,,Patterns of Prejudice,1,268,490
A5034686276,Dan Freeman-Maloy,2011,,,,Journal of Palestine Studies,1,5,9
A5068173751,Dan Lainer-Vos,2013,University of Southern California,US,,Sociological Theory,1,21,263
A5059081206,Dan P McAdams,2024,,,"Department of Psychology, Northwestern University.",Journal of Personality and Social Psychology (JPSP),1,441,40843
A5008901539,Dan Porat,2023,Hebrew University of Jerusalem,IL,,Holocaust and Genocide Studies (HGS),1,17,65
A5056474745,Dan Rabinowitz,1994;2000;2001;2002;2005;2008,,,,Ethnic and Racial Studies;International Journal of Middle East Studies (IJMES);Journal of Anthropological Research;Middle East Journal,7,79,1200
A5020241960,Dan Reiter,2001,Emory University,US,,American Political Science Review (APSR),1,152,6015
A2123205186,Dan Rodríguez-García,2019,Universitat Autònoma de Barcelona,ES,,Journal of Ethnic and Migration Studies (JEMS),1,0,0
A5058634010,Dan Rosengren,1991,University of Gothenburg,SE,,Ethnos: Journal of Anthropology,1,25,253
A5023937745,Dan Scheinberg,2001,,,,Journal of Ethnic and Migration Studies (JEMS),1,1,20
A5019624241,Dan Tsahor,2019,,,,Journal of Palestine Studies,1,4,1
A5063871889,Dana Alexander,2022,Hebrew University of Jerusalem,IL,,Law and Social Inquiry,1,4,2
A5111569216,Dana Birnbaum,2011,Bar-Ilan University,IL,,Journal of Personality and Social Psychology (JPSP),1,17,726
A5115822402,Dana Boulus,2024,,,,International Journal of Middle East Studies (IJMES),1,2,1
A5057028625,Dana Grosswirth Kachtan,2015,Open University of Israel,IL,,Ethnicities,1,8,102
A5073683682,Dana Hadar,2024,University of Haifa,IL,,Journal of Loss and Trauma,2,6,32
A5021553063,Dana Pereg,2004,Bar-Ilan University,IL,,Personality and Social Psychology Bulletin (PSPB),1,3,1766
A2604986486,Dana Shay,2025,Academic College of Tel Aviv-Yafo;Tel Aviv University,IL,,European Sociological Review (ESR),1,0,0
A5021268246,Dana Zarhin,2020,Brandeis University;University of Haifa,IL;US,,The British Journal of Sociology (BJS),1,26,426
A5038559620,Dani Kranz,2014,,,,Journal of Ethnic and Migration Studies (JEMS),1,66,276
A5031035065,Daniel A. Effron,2011,Stanford University,US,,Journal of Personality and Social Psychology (JPSP),1,65,3319
A5005558456,Daniel Amir,2023,University of Oxford,GB,,British Journal of Middle Eastern Studies (BRISMES),1,3,0
A5049187779,Daniel Arnon,2019,Emory University,US,,British Journal of Political Science (BJPolS),1,257,47431
A5021982821,Daniel Austin Mullins,2018,Universidad de Londres;University of London;University of Oxford,GB;MX,,American Sociological Review (ASR),1,23,1457
A5109007933,Daniel B-land,2012,,,,Journal of Palestine Studies,1,51,40
A5030678100,Daniel Bar‐Tal,2002;2014;2021,Tel Aviv University,IL,,Journal of Social Issues (JSI);Middle East Journal;Personality and Social Psychology Bulletin (PSPB),4,363,17787
A5066819531,Daniel Blatman,2014,,,,Journal of Genocide Research (JGR),1,31,102
A5090987372;A5111506320,Daniel Bodansky,2006;2007,,,,American Journal of International Law (AJIL),2,199,5514
A5088220646,Daniel Breslau,2005,,,,Ethnic and Racial Studies,1,50,972
A5075246145,Daniel C. Kurtzer,2009;2022,Princeton Public Schools;Princeton University;Woodrow Wilson International Center for Scholars,US,,International Journal of Middle East Studies (IJMES);Middle East Journal,2,44,97
A5103710561,Daniel Friedmann,1984,,,,International & Comparative Law Quarterly (ICLQ),1,95,1296
A5003186092,Daniel Gerson,1992,,,"Doctoral student, Zentrum für Antisemitismusforschung , Berlin",Patterns of Prejudice,1,358,1218
A5034235720,Daniel Heradstveit,1973,Norwegian Institute of International Affairs,NO,,Journal of Palestine Studies,2,42,208
A5068849327,Daniel Herskowitz,2018,,,,New German Critique,1,57,160
A5102988888,Daniel Hoyer,2018,George Brown College,CA,,American Sociological Review (ASR),1,64,695
A5112799021,Daniel J. Amit,1983,,,"Daniel Amit is Professor of Physics at Hebrew University in Jerusalem, and a founding member of the Committee for Solidarity with Birzeit University and of the Committee Against the War in Lebanon.",Journal of Palestine Studies,1,115,12680
A5109575299,Daniel J. Elazar,1991,Bar-Ilan University,IL,,Patterns of Prejudice,1,341,4566
A5012013602,Daniel Landau,2025,Herzliya Medical Center,IL,,Group Processes & Intergroup Relations (GPIR),1,16,205
A5027480011,Daniel Lieberfeld,2000,Bowdoin College,US,,International Journal of Middle East Studies (IJMES),1,47,481
A5045812401,Daniel Maier-Katkin,2006,,,,Human Rights Quarterly,1,24,397
A5057018312,Daniel Maman,1997;2003;2019,Ben-Gurion University of the Negev,IL,,International Journal of Middle East Studies (IJMES);The British Journal of Sociology (BJS),3,55,1085
A5035982179,Daniel Martin Varisco,2009,,,,Middle East Journal,1,274,1793
A5077525420,Daniel Monterescu,2008;2013;2021,Central European University,AT,,Constellations;Ethnic and Racial Studies;International Journal of Middle East Studies (IJMES),4,79,707
A5003519662,Daniel R. Langton,2011,,,,Holocaust Studies: A Journal of Culture and History,1,115,265
A5005041646,Daniel R. Rovenpor,2017,The Ohio State University,US,,Journal of Personality and Social Psychology (JPSP),1,22,244
A5082297735,Daniel Zohary,2011,,,,Current Anthropology,1,120,13466
A5007406374,Daniela Huber,2018,Istituto Affari Internazionali,IT,,Middle East Critique,1,72,445
A5067644116,Daniela Mansbach,2015,University of Wisconsin–Superior,US,,Journal of Human Rights (JHR),1,17,76
A5024411384,Daniela Ozacky Stern,2024,Western Galilee College,IL,,Holocaust and Genocide Studies (HGS),1,15,5
A5060406920,Daniele Conversi,1997,Syracuse University,US,,Ethnic and Racial Studies,1,175,1807
A5063531190,Daniella Shaw,2024;2025,"Birkbeck, University of London",GB,,Ethnicities;European Journal of Cultural Studies,2,88,1582
A5035414844,Danielle Celermajer,2019,,,,Human Rights Quarterly,1,123,1419
A5072504812,Danilyn Rutherford,2018;2019,,,,Current Anthropology,2,106,2047
A5037559600,Danny Ben-Moshe,2005,,,,British Journal of Middle Eastern Studies (BRISMES),1,34,221
A5079384886,Danny Horesh,2013,New York University,US,,Journal of Loss and Trauma,1,83,3197
A5114376134,Danny Orbach,2013,,,,International Journal of Middle East Studies (IJMES),1,33,60
A5084080936,Danny Rosenberg,2010;2017,Israel Antiquities Authority;University of Haifa,IL,,Current Anthropology,2,157,1395
A5035622425,Danyel Reiche,2018,,,,Middle East Journal,1,106,1426
A5067975179,Daoud Kuttab,1987;1988;1991;1992,New York Times,US,Daoud Kuttab is a Palestinian journalist working in the occupied territories.,Journal of Palestine Studies,5,31,79
A5060267463,Daphna Canetti,2009;2014;2021,University of Haifa;Yale University,IL;US,,American Journal of Political Science (AJPS);British Journal of Political Science (BJPolS);Journal of Ethnic and Migration Studies (JEMS),4,100,3227
A5046414424,Daphna Canetti-Nisim,2004,University of Haifa,IL,,Patterns of Prejudice,1,44,2940
A5070183868,Daphna Golan,2012;2014,Hebrew University of Jerusalem,IL,,International Journal of Human Rights (IJHR);Law and Society Review,2,23,456
A5047626889,Daphna Hacker,2010;2019,Tel Aviv University,IL,,Law and Social Inquiry,2,66,369
A5002516027,Daphna Joel,2025,Tel Aviv University,IL,,Group Processes & Intergroup Relations (GPIR),1,120,10153
A5078729414,Daphna Oyserman,1993,Merrill (United States);Wayne State University,US,,Journal of Personality and Social Psychology (JPSP),1,324,26144
A5091102350,Daphne Inbar,2020,Hebrew University of Jerusalem,IL,,British Journal of Middle Eastern Studies (BRISMES),1,5,23
A5033800764,Daphne Tsimhoni,2005,,,,Journal of Human Rights (JHR),1,24,89
A5047234163,Dapo Akande,2021,University of Oxford,GB,,American Journal of International Law (AJIL),1,299,8105
A5115080150,Daria Gomelsky-Haiby,2024,University of Haifa,IL,,Ethnic and Racial Studies,1,1,0
A5044000319,Daria Mamon,2016,William James College,US,,Journal of Loss and Trauma,1,9,68
A5046745138,Darius Rejali,2004,,,,Journal of Palestine Studies,1,36,1009
A5013301869,Darryl Li,2006,,,,Journal of Palestine Studies,1,36,532
A5091823784,Daryl Glaser,2003;2005,University of Strathclyde;University of the Witwatersrand,GB;ZA,,Ethnic and Racial Studies;Ethnicities,2,61,354
A5073258673;A5045222547,David A. Gerber,1980,"University at Buffalo, State University of New York",US,,Ethnic and Racial Studies,2,422,7058
A5036612619,David A. R. Richards,2007,University of South Florida,US,,Personality and Social Psychology Bulletin (PSPB),1,172,17933
A5028007624,David Aberbach,1997;2002,,,,Ethnic and Racial Studies;The British Journal of Sociology (BJS),2,270,356
A5061396279,David Adams,1985,University of Oxford,GB,,Journal of Palestine Studies,1,398,8156
A5012535421,David B. Nissman,1996,,,"Turkic Information Center , Manassas, VA, USA",Ethnic and Racial Studies,1,13,22
A5063361211,David Bargal,1992,Ford Foundation;Hebrew University of Jerusalem,IL;US,,Journal of Social Issues (JSI),1,58,1313
A5006823603,David Berger,2010,,,,Middle East Journal,1,231,6000
A5112367029,David C. Montgomery,1998,Brigham Young University,US,,British Journal of Middle Eastern Studies (BRISMES),1,19,107
A5060510081;A5050988712,David Cesarani,1991;1992;1996,University of Manchester,GB,"Deputy Director of the Institute for Contemporary History and Wiener Library , London;Director, Institute for Contemporary History and Wiener Library;History and Wiener Library , Institute of Contemporary , London",Ethnic and Racial Studies;Patterns of Prejudice,4,191,1926
A5082016536,David Chan,2017,Singapore Management University,SG,,Journal of Personality and Social Psychology (JPSP),1,136,7560
A5053153338,David D. Henley,1986,Uppsala University,SE,,Journal of Palestine Studies,1,18,591
A5037250722,David G. Barnum,1993,,,,British Journal of Political Science (BJPolS),1,23,306
A5077294959,David G. Nes,1978,,,"David G. Nes is a free lance journalist, who was US Chargé d'Affaires in Cairo in 1967.",Journal of Palestine Studies,1,1,0
A5064270330,David Garnham,1992,University of Wisconsin–Milwaukee,US,,International Journal of Middle East Studies (IJMES),1,25,243
A5018170787,David H. Rosenbloom,1978,,,,American Journal of Sociology (AJS),1,180,3533
A5112365139,David Herman,1985,,,"Programme Voices , Channel 4",Patterns of Prejudice,1,28,37
A5111891161;A5108576317,David Hirst,1974;1975;1999;2003,,,"David Hirst is Middle East correspondent for the British daily, The Guardian.;David Hirst is the Middle East correspondent of the English daily newspaper The Guardian.",Journal of Palestine Studies,6,289,4511
A5020911298,David Howarth,1996,University of Essex,GB,,Ethnic and Racial Studies,1,418,5026
A5044472698,David J. Wishart,1997,University of Nebraska–Lincoln,US,,Ethnic and Racial Studies,1,123,572
A5002223518,David Jacobs,1997,British Library,GB,,British Journal of Middle Eastern Studies (BRISMES),1,15,208
A5058633331,David Kaposi,2016,The Open University,GB,,British Journal of Middle Eastern Studies (BRISMES),1,35,184
A5059357474,David Keane,2018,Middlesex University,MT,,Human Rights Law Review (HRLR),1,87,1435
A5042918385,David Kinsella,1994,,,,American Journal of Political Science (AJPS),1,42,786
A5018231772;A5060166021,David Koff,1983;1984,University of Palestine,PS,"David Koff is a writer and film-maker, who recently produced and directed Occupied Palestine.",Journal of Palestine Studies,8,71,1496
A5102178347,David Kretzmer,1992;2005,Hebrew University of Jerusalem;Sapir College,IL,,American Journal of International Law (AJIL);European Journal of International Law (EJIL);Netherlands Quarterly of Human Rights (NQHR),3,133,1349
A5013412137;A5049603047,David Lawrence,1984;1986,"Georgetown University;University of California, Berkeley",US,,Journal of Palestine Studies,4,1106,26838
A5102509424,David Lennon,1983,,,,Journal of Palestine Studies,2,7,17
A5003747643,David Levi-Faur,1997,University of Haifa,IL,,International Journal of Middle East Studies (IJMES),1,147,6621
A5078410458,David Lloyd,2020,"Fordham University;New York University Press;University of California, Riverside",US,,Journal of Palestine Studies,1,278,3160
A5024054609,David M. Sassoon,1962,,,,International & Comparative Law Quarterly (ICLQ),1,15,112
A5111813138,David Mason,1996,University of Plymouth,GB,,Ethnic and Racial Studies,1,152,2437
A5024484968,David McDowall,1995;1997,Richmond Royal Hospital,GB,,British Journal of Middle Eastern Studies (BRISMES),2,147,5117
A5051370345,David Mednicoff,2020,"Oxfam;SOAS University of London;Tel Aviv University;Universidad de Londres;University of California, Los Angeles;University of London;University of Massachusetts Amherst",GB;IL;MX;US,,Law and Social Inquiry,1,62,150
A5036860457,David Mittelberg,1992,University of Haifa,IL,,Ethnic and Racial Studies,1,44,395
A5020399585,David Nachmias,1977;1978;2017,Reichman University,IL,,American Journal of Sociology (AJS);British Journal of Political Science (BJPolS);Ethnic and Racial Studies,3,74,1787
A5089584128,David Naveh,1976,,,,Journal of Politics (JOP),1,31,1051
A5007221355,David P. Forsythe,1997;2022;2024,,,,Human Rights Quarterly,3,353,4618
A5001006551,David P. Gushee,1993,Southern Baptist Theological Seminary,,,Holocaust and Genocide Studies (HGS),1,95,265
A5053289058,David P. McCabe,2006,Washington University in St. Louis,US,,Memory,1,67,4041
A5080098235,David Palmer,2005,Chinese University of Hong Kong,HK,,The British Journal of Sociology (BJS),1,114,1787
A5058644485,David Pan,2023,McKinsey & Company (United States);Pennsylvania State University,US,,Telos,1,85,148
A5015834291,David Peterson,2012,,,,Journal of Palestine Studies,1,156,3594
A5026606768,David Reifen,1975,,,,Stanford Law Review,1,17,21
A5049326557,David Romney,2022,Brigham Young University,US,,American Journal of Political Science (AJPS),1,21,127
A5018019204,David S. Siroky,2011,Arizona State University,US,,Journal of Politics (JOP),1,82,1663
A5013207848,David S. Sorenson,2012,,,,Middle East Journal,1,127,237
A5067798539,David Schonberg,1982,,,,International & Comparative Law Quarterly (ICLQ),1,4,18
A5065843753,David Schraub,2021,Lewis & Clark College,US,,Ethnic and Racial Studies,1,47,111
A5088021547,David Silberklang,1994,,,,Holocaust and Genocide Studies (HGS),1,12,21
A5040409271,David Simon,1996,Royal Holloway University of London,GB,,Ethnic and Racial Studies,1,461,11075
A5064598101,David Tal,1996,Tel Aviv University,IL,,International Journal of Middle East Studies (IJMES),1,103,220
A5009201543,David Theo Goldberg,1996,Arizona State University,US,,Ethnic and Racial Studies,1,289,17055
A5016536177,David Thomas,1997;1998,Selly Oak Hospital,GB,,British Journal of Middle Eastern Studies (BRISMES),2,220,1429
A5024047671,David Tuong,1981,,,"David Tuong, an analyst of US-Asian policy, is a citizen of Vietnam currently residing in the US.",Journal of Palestine Studies,2,3,0
A5090423880,David Turley,1996,University of Kent,GB,,Ethnic and Racial Studies,1,59,250
A5081434107,David Tzuriel,1984,Bar-Ilan University,IL,,Journal of Personality and Social Psychology (JPSP),2,151,3218
A5089242460,David W. Littlefield,1972,Georgetown University;Library of Congress,US,,Journal of Palestine Studies,2,10,76
A5067942697,David W. Minar,1966,,,,American Sociological Review (ASR),1,17,235
A5058745980,David Waines,1984;1995;1998,Lancaster University;Lancaster University Ghana,GB;GH,,British Journal of Middle Eastern Studies (BRISMES);International Journal of Middle East Studies (IJMES),3,116,288
A5040123382,David Weisburd,2011;2017,,,,Law and Society Review,2,1142,29576
A5020741414,David Welch,1996,University of Kent,GB,,Ethnic and Racial Studies,1,245,3261
A5018932019,Davida Wood,1997,Princeton University,US,,Ethnic and Racial Studies,1,24,84
A5031744951,Dawn Chatty,1998;2006,Queen Elizabeth’s Academy;University of Oxford,GB,,British Journal of Middle Eastern Studies (BRISMES);Journal of the Royal Anthropological Institute (JRAI),2,220,1643
A5065020487,Debbie J. Gerner,1983,University of Iowa,US,,International Journal of Middle East Studies (IJMES),1,3,21
A5007361068,Deborah A. Kapchan,1995,The University of Texas at Austin,US,,British Journal of Middle Eastern Studies (BRISMES),1,107,1281
A5052732584,Deborah A. Starr,2002,,,,International Journal of Middle East Studies (IJMES),1,42,162
A5013621331,Deborah Bernstein,1980;1981;1982,University of Haifa,IL,,Ethnic and Racial Studies;The British Journal of Sociology (BJS),3,34,732
A5073336698,Deborah Golden,2005,,,,Ethnos: Journal of Anthropology,1,52,327
A5076879069,Deborah J. Gerner,1992;1994;1999;2000;2001,University of Kansas,US,,International Journal of Middle East Studies (IJMES);Journal of Palestine Studies,5,72,1570
A5076706012,Deborah L. Wheeler,1998,University of Washington,US,,International Journal of Middle East Studies (IJMES),1,61,783
A5070357476,Deborah Shulman,2025,University of East Anglia,GB,,Group Processes & Intergroup Relations (GPIR),1,14,105
A5002805089,Deby Babis,2016,Hebrew University of Jerusalem,IL,,Journal of Ethnic and Migration Studies (JEMS),1,26,245
A5023294633,Dekel Peretz,2024,Max Planck Institute for the Study of Religious and Ethnic Diversity,DE,,Ethnicities,1,8,16
A5055946405,Delia Cortese,1995,Transnational Press London,,,British Journal of Middle Eastern Studies (BRISMES),1,61,106
A5110600248,Denis J. Sullivan,1996,Northeastern University,US,,International Journal of Middle East Studies (IJMES),1,261,9028
A5088506379,Dennis Deletant,1997;2016,Georgetown University;London School of Economics and Political Science,GB;US,,Ethnic and Racial Studies;Holocaust and Genocide Studies (HGS),2,235,646
A5019406730,Dennis L. Dresang,1980,University of Wisconsin–Madison,US,,American Political Science Review (APSR),1,68,551
A5017041629,Dennis McElrath,1962,,,,American Sociological Review (ASR),1,3,31
A5043016221,Dennis Rosenberg,2019,University of Haifa,IL,,Journal of Ethnic and Migration Studies (JEMS),1,46,267
A5058996377,Dennis T. Kahn,2017;2021,Reichman University;Tel Aviv University,IL,,Group Processes & Intergroup Relations (GPIR);Personality and Social Psychology Bulletin (PSPB),2,23,313
A5024362245,Denns Chong,1986,"University of California, Berkeley",US,,American Political Science Review (APSR),2,2,75
A5017217282,Derek Hopwood,1995;1997,,,"St Antony's College , Oxford",British Journal of Middle Eastern Studies (BRISMES),2,136,599
A5005038093,Derwood W. Lockard,1970,Harvard University Press,US,,American Anthropologist,1,1,0
A5085093793,Devin G. Atallah,2023,,,,Journal of Palestine Studies,1,25,582
A5033115046,Diana Allan,2010,,,,Journal of Palestine Studies,1,37,245
A5033058510,Diana B. Greenwald,2022,City College of New York,US,,International Journal of Middle East Studies (IJMES),1,11,4
A5068236306,Diana Buttu,2014;2022,,,,Journal of Palestine Studies,2,22,62
A5113452866,Diana Popescu,2018,Park Plaza Hospital,US,,Genocide Studies and Prevention: An International Journal (GSP),1,5,2
A5048978860,Dick Doughty,1996,,,,Journal of Palestine Studies,1,7,34
A5049157840,Dilworth B. Parkinson,2006,,,,Current Anthropology,1,37,312
A5000264975,Dimitry Shumsky,2004,University of Haifa,IL,,"Social Identities: Journal for the Study of Race, Nation and Culture",1,8,106
A5077521813,Dina A. Zinnes,1977,Indiana University,US,,American Political Science Review (APSR),2,109,1271
A5032878691,Dina Jadallah,2014,,,,Middle East Journal,1,10,32
A5074678395,Dina Maskileyson,2015,Tel Aviv University,IL,,Ethnic and Racial Studies,1,24,550
A5025631953,Dina Matar,2006,,,,Journal of Ethnic and Migration Studies (JEMS),1,75,276
A5032318460,Dina Porat,1995,Tel Aviv University,IL,,Holocaust and Genocide Studies (HGS),1,262,310
A5108346618,Dina Rizk Khoury,2014,George Washington University,US,,International Journal of Middle East Studies (IJMES),1,54,538
A5086568182,Dina Roginsky,2006,,,,Patterns of Prejudice,1,10,55
A5043282111,Dionisius A. Agius,1993,University of Leeds,GB,,British Journal of Middle Eastern Studies (BRISMES),1,96,380
A5077123722,Dirk Jacobs,2011,,,,Patterns of Prejudice,1,470,3765
A5030064663,Dirk Moses,2016,The University of Sydney,AU,,Genocide Studies and Prevention: An International Journal (GSP),1,2,2
A5089818634,Dirk Verheyen,1996,Loyola Marymount University,US,,Ethnic and Racial Studies,1,20,93
A5010310936,Dmitriy Skougarevskiy,2016,European University at Saint Petersburg;Graduate Institute of International and Development Studies;World Trade Organization,CH;RU,,Journal of International Economic Law (JIEL),1,46,667
A5091324609,Dmitry Leykin,2017,Ben-Gurion University of the Negev,IL,,Journal of Loss and Trauma,1,27,1124
A5029523928,Dogan Gurpinar,2016,Istanbul Technical University,TR,,British Journal of Middle Eastern Studies (BRISMES),1,56,289
A5109456417,Dominick LaCapra,1997,,,,History and Memory,1,214,15158
A5075062165,Dominika Blachnicka-Ciacek,2017,Goldsmiths University of London,GB,,Journal of Ethnic and Migration Studies (JEMS),1,12,192
A5016681071,Dominique Schnapper,1991,École des Hautes Études en Santé Publique,FR,,Patterns of Prejudice,1,344,2685
A5114910531,Dominique Vidal,2018,,,,Journal of Palestine Studies,1,559,2193
A5079646553,Don A. Habibi,2007,University of North Carolina Wilmington,US,,Journal of Human Rights (JHR),1,30,200
A5045697697,Don C. Piper,1997,,,,Middle East Journal,1,48,114
A5000542719,Don Martindale,1964,,,,American Journal of Sociology (AJS),1,101,2149
A5028604301,Don Peretz,1977;1983;1985;1987;1989;1990;1991;1992;1993;1995;1996;1997;1999;2000;2001;2003;2004,Binghamton University,US,,International Journal of Middle East Studies (IJMES);Journal of Palestine Studies;Middle East Journal,28,144,1015
A5064158869,Donal K. Coffey,2016,Max Planck Institute for Legal History and Legal Theory,DE,,Human Rights Law Review (HRLR),1,66,131
A5088418418,Donald Beachler,2007,,,,Patterns of Prejudice,1,41,119
A5049742819,Donald Bloxham,1997;2011,University of Southampton,GB,,Journal of Genocide Research (JGR);Patterns of Prejudice,2,170,2087
A5087926931,Donald E. Wagner,2005,,,,Journal of Palestine Studies,1,35,370
A5088478000,Donald G. Schilling,2002,,,,Holocaust and Genocide Studies (HGS),1,27,389
A5010692432,Donald Harman Akenson,1997,Queen's University,CA,,Ethnic and Racial Studies,1,322,2734
A5047244264,Donald L. Losman,1972,Loyola University New Orleans,US,,International Journal of Middle East Studies (IJMES),1,13,184
A5039242130,Donald L. Magnetti,1978,Fordham University,US,,American Journal of International Law (AJIL),1,7,9
A5033228661,Donald Neff,1991;1993;1994;2004,,,,Journal of Palestine Studies,9,48,241
A5064771923,Donald Quataert,1995;1998,Binghamton University,US,,British Journal of Middle Eastern Studies (BRISMES),2,133,2708
A5013453869,Donna E. Arzt,1994,College of Law;Syracuse University,LV;US,,Law and Social Inquiry,2,23,184
A5038815072,Donna Lee Bowen,1997,Brigham Young University,US,,British Journal of Middle Eastern Studies (BRISMES),2,54,414
